idx,speedup_rate,start_time,end_time,original_duration,flag,character_count,original_character_count,translated_duration,estimated_duration,difference
1,1.0,15.44,21.2,5.76,False,32,118,5.76,5.7652363636363635,0.005236363636363706
5,1.008,45.46,46.96,1.512,False,9,25,1.512,1.6214727272727272,0.10947272727272717
9,1.0005319148936176,68.28,75.8,7.524,False,43,124,7.524,7.747036363636363,0.22303636363636326
10,1.001052631578947,75.8,87.2,11.412,False,71,180,11.412,12.791618181818182,1.3796181818181807
11,1.0035398230088495,87.2,93.98,6.804,False,48,142,6.804,8.647854545454546,1.8438545454545459
18,1.0038461538461525,134.94,138.06,3.132,False,15,43,3.132,2.7024545454545454,0.4295454545454547
22,1.0258064516129113,155.28,157.14,1.908,False,20,66,1.908,3.6032727272727274,1.6952727272727275
25,1.003278688524591,183.6,184.82,1.224,False,5,22,1.224,0.9008181818181819,0.3231818181818181
27,1.0000000000000073,187.8,189.06,1.26,False,6,23,1.26,1.0809818181818183,0.17901818181818174
37,1.0039603960396035,266.94,273.0,6.084,False,41,110,6.084,7.386709090909091,1.302709090909091
38,1.0082474226804137,273.0,278.82,5.868,False,51,133,5.868,9.188345454545454,3.3203454545454534
